facility_id,jurisdiction_code,jurisdiction_facility_id,registered_business_name,facility_name,abn,acn,street_address,suburb,state,postcode,latitude,longitude,primary_anzsic_class_code,primary_anzsic_class_name,main_activities,facility_website,first_report_year,latest_report_year,latest_report_id,latest_report_url,reports
572082,VIC,00029430,GM HOLDEN LTD,Holden - HSPO,84006893232,006893232,99 PRINCES HWY,Dandenong South,VIC,3175,-38.006308,145.2439,3504,Motor Vehicle New Parts Wholesaling,Warehouse facility engaged in automotive parts distribution.,http://www.holden.com.au/corporate/about-holden/environmentfacilities/programs/national-pollutant-inventory,2009/2010,2016/2017,492386,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2017/jurisdiction-facility/00029430,8
533146,VIC,00010123,GM HOLDEN LTD,Holden - Lang-Lang Proving Ground,84006893232,006893232,HOLDEN PROVING GROUND BASS HWY,Lang Lang,VIC,3984,-38.326963,145.565484,2311,Motor Vehicle Manufacturing,"Crash testing, vehicle and motor endurance testing and monitoring",http://www.holden.com.au/corporate/about-holden/environmentfacilities/programs/national-pollutant-inventory,1999/2000,2019/2020,517192,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2020/jurisdiction-facility/00010123,21
546818,WA,WA0894,GMA GARNET PTY LTD,Geraldton Dry Plant,72009344227,009344227,122 Goulds Road,Narngulu,WA,6532,-28.807778,114.670833,0805,Mineral Sand Mining,Mineral sand mining,,2004/2005,2022/2023,542790,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA0894,19
546120,WA,WA0732,GMA GARNET PTY LTD,Hose Mine and Wet Processing Plant,72009344227,009344227,1420 George Grey Drive,Yallabatharra,WA,6535,-28.094444,114.215556,0805,Mineral Sand Mining,Mineral sand mining,,2004/2005,2022/2023,542794,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA0732,19
640174,WA,WA1535,GNT RESOURCES PTY LTD,Dalgaranga Gold Mine,35159772077,159772077,"Mt Farmer Road, Mt Magnet",Daggar Hills,WA,6638,-27.846848,127.277266,0804,Gold Ore Mining,Mining and Gold Beneficiation,http://spartanresources.com.au,2017/2018,2022/2023,547174,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA1535,6
525908,VIC,00004180,GODFREY HIRST AUSTRALIA PTY LTD,GODFREY HIRST AUSTRALIA PTY LTD,58000849758,000849758,7 FACTORIES RD,Geelong South,VIC,3220,-38.168465,144.361281,1331,Textile Floor Covering Manufacturing,Carpet manufacturing,http://www.godfreyhirst.com,2002/2003,2022/2023,546748,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2023/jurisdiction-facility/00004180,21
506248,QLD,Q023GCW002,GOLD COAST CITY COUNCIL,Coombabah Sewage Treatment Plant,84858548460,,RAIN TREE GLEN,Coombabah,QLD,4216,-27.913134,153.364966,2812,Sewerage and Drainage Services,Operation of a sewage treatment plant in accordance with the conditions specified in the Development Approval.,http://www.goldcoast.qld.gov.au,1998/1999,2022/2023,544426,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2023/jurisdiction-facility/Q023GCW002,25
506268,QLD,Q023GCW003,GOLD COAST CITY COUNCIL,Elanora Sewage Treatment Plant,84858548460,,TALLEBUDGERA DR,Palm Beach,QLD,4221,-28.1173,153.444412,2812,Sewerage and Drainage Services,Operation of a sewage treatment plant in accordance with the conditions of the Development Approval.,http://www.goldcoast.qld.gov.au,1998/1999,2022/2023,544360,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2023/jurisdiction-facility/Q023GCW003,25
506288,QLD,Q023GCW004,GOLD COAST CITY COUNCIL,Merrimac Sewage Treatment Plant,84858548460,,BOOWAGGAN RD,Merrimac,QLD,4226,-28.044245,153.3833,2812,Sewerage and Drainage Services,Operation of a sewage treatment plant in accordance with the conditions outlined in the Development Approval.,http://www.goldcoast.qld.gov.au,1998/1999,2022/2023,544556,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2023/jurisdiction-facility/Q023GCW004,25
572626,QLD,Q058GOL001,GOLD COAST CITY COUNCIL,Molendinar Closed Landfill,84858548460,,Herbertson Drive ,Molendinar,QLD,4214,-27.9821805556,153.355727778,2921,Waste Treatment and Disposal Services,Landfill and Transfer Station,http://www.cityofgoldcoast.com.au/waste,2010/2011,2022/2023,546438,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2023/jurisdiction-facility/Q058GOL001,13
